ID,IBM,DATA,Status Atual
2225,41971,6/7/2017,PRODUTIVO
10008,42072,26/2/2018,PRODUTIVO
364,43141,8/6/2017,PRODUTIVO
30102,43273,2/7/2020,PRODUTIVO
3060,43281,11/8/2017,PRODUTIVO
5847,43290,17/10/2017,PRODUTIVO
5778,43427,16/10/2017,PRODUTIVO
2346,46876,28/7/2017,PRODUTIVO
10729,47287,21/3/2018,PRODUTIVO
2363,47902,28/7/2017,PRODUTIVO
6206,48380,26/10/2017,PRODUTIVO
5332,48836,4/10/2017,PRODUTIVO
30781,49565,28/7/2020,PRODUTIVO
26752,49778,20/2/2020,PRODUTIVO
5798,50105,16/10/2017,PRODUTIVO
6801,50890,21/11/2017,DESATIVADO
6224,52493,27/10/2017,PRODUTIVO
8753,53767,23/1/2018,PRODUTIVO
12940,53830,18/6/2018,PRODUTIVO
41965,54950,21/10/2021,SUSPENSO
30728,55522,27/7/2020,PRODUTIVO
3721,56855,23/8/2017,PRODUTIVO
1827,56928,14/7/2017,PRODUTIVO
42136,59919,28/10/2021,PRODUTIVO
3725,59951,23/8/2017,PRODUTIVO
6317,59986,1/11/2017,PRODUTIVO
32560,59994,21/10/2020,PRODUTIVO
1873,62863,24/7/2017,PRODUTIVO
217,70149,6/6/2017,PRODUTIVO
4386,70181,5/9/2017,PRODUTIVO
724,70300,20/6/2017,PRODUTIVO
40791,70564,3/9/2021,PRODUTIVO
30790,71013,28/7/2020,PRODUTIVO
3595,71404,21/8/2017,PRODUTIVO
4909,71617,21/9/2017,SUSPENSO
33338,71676,9/12/2020,PRODUTIVO
5832,71692,17/10/2017,PRODUTIVO
3722,71757,24/8/2017,PRODUTIVO
30884,71943,31/7/2020,PRODUTIVO
9893,73539,22/2/2018,PRODUTIVO
19313,73555,14/2/2019,PRODUTIVO
1523,75965,17/7/2017,PRODUTIVO
2841,77011,7/8/2017,DESATIVADO
197,77526,5/6/2017,DESATIVADO
2889,80276,8/8/2017,DESATIVADO
39719,80900,16/7/2021,PRODUTIVO
24333,81124,17/10/2019,PRODUTIVO
29900,81183,25/6/2020,DESATIVADO
32513,81230,19/10/2020,PRODUTIVO
4446,81248,6/9/2017,PRODUTIVO
32106,81272,24/9/2020,PRODUTIVO
30562,81310,21/7/2020,PRODUTIVO
10756,81329,22/3/2018,PRODUTIVO
24366,81337,18/10/2019,SUSPENSO
30782,81345,28/7/2020,PRODUTIVO
32280,81590,2/10/2020,SUSPENSO
1013,81809,26/6/2017,PRODUTIVO
29939,82406,26/6/2020,PRODUTIVO
34621,83348,27/1/2021,DESATIVADO
6017,84042,23/10/2017,PRODUTIVO
30048,85812,1/7/2020,PRODUTIVO
39380,86371,1/7/2021,PRODUTIVO
30336,86495,10/7/2020,PRODUTIVO
14035,86576,14/8/2018,PRODUTIVO
3214,86584,15/8/2017,DESATIVADO
843,86630,22/6/2017,PRODUTIVO
37642,86673,16/4/2021,PRODUTIVO
9115,86835,31/1/2018,PRODUTIVO
9830,86878,21/2/2018,DESATIVADO
13151,86886,2/7/2018,PRODUTIVO
139,86916,25/5/2017,PRODUTIVO
2558,86932,1/8/2017,PRODUTIVO
3803,86959,25/8/2017,DESATIVADO
502,87068,9/5/2017,PRODUTIVO
29645,87157,9/6/2020,PRODUTIVO
6343,87211,1/11/2017,PRODUTIVO
2341,87238,28/7/2017,SUSPENSO
40988,87262,13/9/2021,PRODUTIVO
29992,88714,30/6/2020,PRODUTIVO
4678,88854,14/9/2017,PRODUTIVO
38017,89028,5/5/2021,PRODUTIVO
6323,89524,1/11/2017,PRODUTIVO
6845,90069,22/11/2017,PRODUTIVO
39992,90301,29/7/2021,SUSPENSO
3550,90581,21/8/2017,PRODUTIVO
14809,90719,17/9/2018,PRODUTIVO
1361,90786,13/7/2017,PRODUTIVO
117,91197,22/5/2017,PRODUTIVO
40259,91391,12/8/2021,PRODUTIVO
9260,91448,2/2/2018,PRODUTIVO
32004,91456,18/9/2020,PRODUTIVO
30847,91561,30/7/2020,PRODUTIVO
431,91952,25/4/2017,PRODUTIVO
3553,92916,21/8/2017,DESATIVADO
1346,93130,12/7/2017,PRODUTIVO
7766,93475,20/12/2017,DESATIVADO
32715,93629,29/10/2020,PRODUTIVO
1455,94250,14/7/2017,PRODUTIVO
38672,94730,4/6/2021,PRODUTIVO
2171,94900,21/6/2017,PRODUTIVO
166,95001,27/5/2017,PRODUTIVO
2133,95028,13/6/2017,DESATIVADO
1857,95184,21/7/2017,PRODUTIVO
1302,95206,10/7/2017,PRODUTIVO
574,95524,7/6/2017,PRODUTIVO
31,95745,2/6/2017,PRODUTIVO
185,96946,30/5/2017,PRODUTIVO
30399,96997,14/7/2020,PRODUTIVO
4567,97560,12/9/2017,PRODUTIVO
29872,98019,24/6/2020,PRODUTIVO
2476,98051,31/7/2017,PRODUTIVO
13754,98434,3/8/2018,PRODUTIVO
15004,98990,26/9/2018,PRODUTIVO
10881,99147,26/3/2018,PRODUTIVO
40052,99678,2/8/2021,PRODUTIVO
6203,99686,26/10/2017,PRODUTIVO
30526,100331,20/7/2020,PRODUTIVO
10847,101443,26/3/2018,PRODUTIVO
1870,101532,24/7/2017,PRODUTIVO
295,101540,5/6/2017,DESATIVADO
7105,101583,30/11/2017,DESATIVADO
26547,101729,7/2/2020,PRODUTIVO
1866,102199,24/7/2017,PRODUTIVO
29357,102210,29/4/2020,PRODUTIVO
1355,102458,13/7/2017,PRODUTIVO
30661,102652,23/7/2020,PRODUTIVO
3472,102741,18/8/2017,PRODUTIVO
29619,102849,8/6/2020,PRODUTIVO
654,103357,14/6/2017,PRODUTIVO
1090,103454,29/6/2017,DESATIVADO
9680,103829,16/2/2018,PRODUTIVO
492,105147,13/6/2017,PRODUTIVO
6729,106585,17/11/2017,PRODUTIVO
1309,106593,10/7/2017,PRODUTIVO
8385,106690,11/1/2018,PRODUTIVO
29991,106917,30/6/2020,PRODUTIVO
17681,107603,14/1/2019,PRODUTIVO
30479,108065,16/7/2020,PRODUTIVO
24450,108090,25/10/2019,PRODUTIVO
6385,108685,6/11/2017,PRODUTIVO
102,108723,2/6/2017,PRODUTIVO
3575,110205,21/8/2017,PRODUTIVO
7236,111457,6/12/2017,PRODUTIVO
4076,112208,30/8/2017,PRODUTIVO
29946,113670,26/6/2020,PRODUTIVO
41239,114308,21/9/2021,PRODUTIVO
3511,114456,19/8/2017,PRODUTIVO
6909,114871,24/11/2017,PRODUTIVO
1972,115568,24/7/2017,PRODUTIVO
37470,115703,12/4/2021,PRODUTIVO
11776,116084,18/4/2018,PRODUTIVO
6494,116289,9/11/2017,PRODUTIVO
3087,117951,11/8/2017,PRODUTIVO
712,119016,20/6/2017,DESATIVADO
3083,119997,11/8/2017,PRODUTIVO
1025,120189,27/6/2017,PRODUTIVO
31488,120316,20/8/2020,PRODUTIVO
32147,120332,28/9/2020,PRODUTIVO
4274,120570,4/9/2017,PRODUTIVO
233,120804,6/6/2017,PRODUTIVO
2283,120847,27/7/2017,PRODUTIVO
53,120936,2/6/2017,PRODUTIVO
35342,121410,18/2/2021,PRODUTIVO
1678,121916,19/7/2017,PRODUTIVO
5915,122416,19/10/2017,PRODUTIVO
30303,122548,9/7/2020,PRODUTIVO
3820,122688,25/8/2017,PRODUTIVO
6946,122718,27/11/2017,PRODUTIVO
149,122904,18/5/2017,PRODUTIVO
3823,122947,25/8/2017,PRODUTIVO
188,122998,5/6/2017,PRODUTIVO
30147,123188,3/7/2020,PRODUTIVO
39567,124508,8/7/2021,PRODUTIVO
31140,127493,5/8/2020,PRODUTIVO
4580,127949,12/9/2017,PRODUTIVO
1131,127973,30/6/2017,PRODUTIVO
31196,128147,7/8/2020,PRODUTIVO
30647,128694,23/7/2020,PRODUTIVO
40262,128988,12/8/2021,PRODUTIVO
30795,129704,28/7/2020,DESATIVADO
3929,130451,28/8/2017,PRODUTIVO
31216,131601,7/8/2020,PRODUTIVO
30081,133396,2/7/2020,PRODUTIVO
641,133515,14/6/2017,PRODUTIVO
2830,134864,7/8/2017,PRODUTIVO
3481,134988,18/8/2017,PRODUTIVO
22293,137324,12/6/2019,PRODUTIVO
4205,137839,1/9/2017,PRODUTIVO
1497,138088,12/7/2017,SUSPENSO
5043,138096,25/9/2017,PRODUTIVO
31886,138908,11/9/2020,PRODUTIVO
14089,143197,15/8/2018,PRODUTIVO
5335,143561,4/10/2017,PRODUTIVO
38922,145378,14/6/2021,PRODUTIVO
1274,146013,7/7/2017,PRODUTIVO
7280,150010,7/12/2017,PRODUTIVO
9785,150029,20/2/2018,PRODUTIVO
22597,150134,3/7/2019,PRODUTIVO
10036,150142,27/2/2018,PRODUTIVO
3810,150185,25/8/2017,PRODUTIVO
701,150223,20/6/2017,PRODUTIVO
25,150312,2/6/2017,PRODUTIVO
1259,150339,7/7/2017,PRODUTIVO
136,150401,25/5/2017,PRODUTIVO
8158,150525,8/1/2018,PRODUTIVO
629,150860,14/6/2017,PRODUTIVO
3092,150878,11/8/2017,PRODUTIVO
4521,150894,12/9/2017,PRODUTIVO
29824,150940,23/6/2020,PRODUTIVO
22611,151084,4/7/2019,PRODUTIVO
2117,151149,6/6/2017,PRODUTIVO
29360,151157,30/4/2020,PRODUTIVO
2245,151173,12/7/2017,PRODUTIVO
130,151300,24/5/2017,PRODUTIVO
2878,151327,8/8/2017,DESATIVADO
5913,151394,19/10/2017,PRODUTIVO
532,151491,19/5/2017,PRODUTIVO
8857,151653,26/1/2018,PRODUTIVO
11826,151793,20/4/2018,PRODUTIVO
3736,151858,24/8/2017,PRODUTIVO
1998,151866,26/7/2017,PRODUTIVO
6178,151912,26/10/2017,PRODUTIVO
29757,152030,19/6/2020,PRODUTIVO
22275,152358,11/6/2019,DESATIVADO
6202,152374,26/10/2017,PRODUTIVO
288,152390,1/6/2017,PRODUTIVO
39896,152412,26/7/2021,PRODUTIVO
5802,152455,16/10/2017,PRODUTIVO
1081,152897,28/6/2017,PRODUTIVO
1193,152978,4/7/2017,PRODUTIVO
8900,153079,26/1/2018,PRODUTIVO
29496,153109,20/5/2020,PRODUTIVO
134,153338,23/5/2017,PRODUTIVO
6444,154636,8/11/2017,PRODUTIVO
37369,154890,8/4/2021,PRODUTIVO
241,155331,6/6/2017,PRODUTIVO
7443,155667,12/12/2017,PRODUTIVO
5486,160067,5/10/2017,PRODUTIVO
6201,160423,26/10/2017,PRODUTIVO
3960,160709,29/8/2017,PRODUTIVO
11568,161560,12/4/2018,PRODUTIVO
32429,162302,14/10/2020,DESATIVADO
17786,162370,18/1/2019,PRODUTIVO
35053,162507,10/2/2021,PRODUTIVO
3224,162710,15/8/2017,PRODUTIVO
30281,162736,9/7/2020,PRODUTIVO
4834,163309,19/9/2017,PRODUTIVO
37481,163660,12/4/2021,PRODUTIVO
289,164020,1/6/2017,PRODUTIVO
29638,164100,9/6/2020,SUSPENSO
4528,164305,12/9/2017,PRODUTIVO
630,164437,14/6/2017,PRODUTIVO
5025,164550,25/9/2017,PRODUTIVO
9638,165701,15/2/2018,PRODUTIVO
719,166057,20/6/2017,PRODUTIVO
30691,166081,24/7/2020,PRODUTIVO
315,166359,5/6/2017,PRODUTIVO
10082,166790,28/2/2018,PRODUTIVO
31346,167070,13/8/2020,PRODUTIVO
9786,167240,20/2/2018,PRODUTIVO
9504,167444,9/2/2018,PRODUTIVO
11931,167452,24/4/2018,PRODUTIVO
11749,168092,17/4/2018,DESATIVADO
8098,168327,5/1/2018,PRODUTIVO
552,168335,26/5/2017,PRODUTIVO
6476,168556,8/11/2017,PRODUTIVO
17374,169757,28/12/2018,PRODUTIVO
666,171425,16/6/2017,PRODUTIVO
39301,172740,29/6/2021,PRODUTIVO
7279,172871,7/12/2017,PRODUTIVO
11578,174289,12/4/2018,PRODUTIVO
446,175226,5/5/2017,PRODUTIVO
2837,175277,7/8/2017,PRODUTIVO
1195,175536,4/7/2017,PRODUTIVO
29827,175617,23/6/2020,PRODUTIVO
2761,177113,4/8/2017,PRODUTIVO
8341,177156,11/1/2018,PRODUTIVO
4565,177342,12/9/2017,PRODUTIVO
5036,177415,25/9/2017,PRODUTIVO
5564,177423,6/10/2017,PRODUTIVO
2180,177474,20/6/2017,PRODUTIVO
36530,177652,25/2/2021,PRODUTIVO
40407,177741,19/8/2021,PRODUTIVO
11176,178187,3/4/2018,PRODUTIVO
29865,178314,24/6/2020,DESATIVADO
2172,178420,19/6/2017,PRODUTIVO
15325,178802,5/10/2018,PRODUTIVO
5490,178870,5/10/2017,PRODUTIVO
30098,178900,2/7/2020,SUSPENSO
12517,179604,17/5/2018,PRODUTIVO
22821,180092,17/7/2019,PRODUTIVO
9834,180343,21/2/2018,PRODUTIVO
3556,180882,21/8/2017,PRODUTIVO
2762,181404,4/8/2017,PRODUTIVO
12256,182320,4/5/2018,PRODUTIVO
3190,182621,15/8/2017,PRODUTIVO
22447,183679,25/6/2019,PRODUTIVO
11747,184063,17/4/2018,PRODUTIVO
320,184969,5/6/2017,PRODUTIVO
9773,187186,20/2/2018,DESATIVADO
30679,188654,24/7/2020,PRODUTIVO
1451,189766,14/7/2017,PRODUTIVO
31975,190187,17/9/2020,DESATIVADO
5805,190454,16/10/2017,PRODUTIVO
34414,190462,19/1/2021,PRODUTIVO
1672,191108,18/7/2017,PRODUTIVO
10284,191744,8/3/2018,PRODUTIVO
713,191906,20/6/2017,PRODUTIVO
34829,191930,2/2/2021,PRODUTIVO
36782,192074,9/3/2021,PRODUTIVO
10805,192198,23/3/2018,PRODUTIVO
32307,192708,5/10/2020,PRODUTIVO
4579,192910,12/9/2017,PRODUTIVO
30400,199109,14/7/2020,PRODUTIVO
40581,199230,25/8/2021,PRODUTIVO
41338,199281,24/9/2021,PRODUTIVO
6942,199311,27/11/2017,PRODUTIVO
219,199737,6/6/2017,DESATIVADO
4480,199745,8/9/2017,PRODUTIVO
30626,200174,22/7/2020,PRODUTIVO
11436,200476,9/4/2018,PRODUTIVO
6978,200484,28/11/2017,PRODUTIVO
32028,200581,18/9/2020,PRODUTIVO
13893,200956,8/8/2018,PRODUTIVO
13763,201162,3/8/2018,PRODUTIVO
14038,201316,14/8/2018,DESATIVADO
3624,201618,22/8/2017,PRODUTIVO
4576,201880,12/9/2017,PRODUTIVO
32260,202096,1/10/2020,PRODUTIVO
3957,202134,29/8/2017,PRODUTIVO
14026,202231,14/8/2018,PRODUTIVO
128,202339,23/5/2017,PRODUTIVO
9239,202398,2/2/2018,PRODUTIVO
740,202444,20/6/2017,PRODUTIVO
41612,202932,5/10/2021,PRODUTIVO
32002,202967,18/9/2020,PRODUTIVO
30864,203009,30/7/2020,PRODUTIVO
30720,204838,24/7/2020,PRODUTIVO
12146,205184,2/5/2018,PRODUTIVO
13791,205419,3/8/2018,PRODUTIVO
14129,205478,16/8/2018,PRODUTIVO
2803,205745,4/8/2017,DESATIVADO
42584,205923,16/11/2021,PRODUTIVO
31781,205974,4/9/2020,DESATIVADO
14126,206334,16/8/2018,PRODUTIVO
38220,206962,13/5/2021,PRODUTIVO
332,207578,8/6/2017,PRODUTIVO
1767,207772,21/7/2017,PRODUTIVO
30646,210234,23/7/2020,PRODUTIVO
22291,211648,12/6/2019,PRODUTIVO
41927,212202,20/10/2021,PRODUTIVO
30392,213225,14/7/2020,PRODUTIVO
3797,213306,25/8/2017,PRODUTIVO
1107,213446,29/6/2017,PRODUTIVO
1524,213470,17/7/2017,PRODUTIVO
4053,213500,30/8/2017,PRODUTIVO
38145,214850,12/5/2021,PRODUTIVO
14143,216828,17/8/2018,PRODUTIVO
13906,216933,8/8/2018,PRODUTIVO
6885,216968,23/11/2017,PRODUTIVO
31803,220019,8/9/2020,PRODUTIVO
4207,220191,1/9/2017,PRODUTIVO
9375,220230,7/2/2018,PRODUTIVO
13674,221430,31/7/2018,DESATIVADO
3564,222232,21/8/2017,PRODUTIVO
5605,224740,6/10/2017,DESATIVADO
147,228508,29/5/2017,PRODUTIVO
11437,228524,9/4/2018,PRODUTIVO
30704,228702,24/7/2020,PRODUTIVO
284,228761,1/6/2017,PRODUTIVO
38802,228907,8/6/2021,PRODUTIVO
10325,229024,9/3/2018,PRODUTIVO
844,229474,22/6/2017,DESATIVADO
8861,229695,26/1/2018,PRODUTIVO
29674,229717,12/6/2020,PRODUTIVO
285,229890,1/6/2017,PRODUTIVO
11129,229946,2/4/2018,PRODUTIVO
29677,230006,12/6/2020,PRODUTIVO
367,230480,8/6/2017,DESATIVADO
726,230545,20/6/2017,PRODUTIVO
1495,230642,17/7/2017,PRODUTIVO
717,230677,20/6/2017,PRODUTIVO
12450,231037,15/5/2018,DESATIVADO
6633,231304,14/11/2017,PRODUTIVO
40260,232998,12/8/2021,PRODUTIVO
5054,234761,25/9/2017,PRODUTIVO
40526,237906,24/8/2021,PRODUTIVO
5080,238767,26/9/2017,PRODUTIVO
30878,238783,30/7/2020,DESATIVADO
3052,239143,11/8/2017,PRODUTIVO
30544,242713,20/7/2020,PRODUTIVO
21621,243280,2/5/2019,PRODUTIVO
287,243418,1/6/2017,PRODUTIVO
33431,244040,14/12/2020,SUSPENSO
3483,244090,18/8/2017,PRODUTIVO
32055,244210,22/9/2020,PRODUTIVO
31359,244279,14/8/2020,PRODUTIVO
30599,247642,22/7/2020,PRODUTIVO
216,250007,5/6/2017,PRODUTIVO
12055,250775,27/4/2018,DESATIVADO
29898,250821,25/6/2020,PRODUTIVO
30427,250961,15/7/2020,PRODUTIVO
13570,251496,25/7/2018,PRODUTIVO
148,251712,29/5/2017,PRODUTIVO
16728,251976,22/11/2018,DESATIVADO
9668,252000,16/2/2018,PRODUTIVO
11371,252042,6/4/2018,PRODUTIVO
34566,252069,26/1/2021,PRODUTIVO
30664,252280,23/7/2020,PRODUTIVO
12105,252360,30/4/2018,PRODUTIVO
13575,252379,25/7/2018,PRODUTIVO
2754,252700,4/8/2017,DESATIVADO
1344,252824,12/7/2017,PRODUTIVO
4474,253014,7/9/2017,PRODUTIVO
32619,253413,23/10/2020,PRODUTIVO
4907,253430,21/9/2017,DESATIVADO
9617,254380,14/2/2018,PRODUTIVO
1127,254428,30/6/2017,PRODUTIVO
26735,255742,19/2/2020,PRODUTIVO
41280,255971,22/9/2021,PRODUTIVO
30216,256889,7/7/2020,PRODUTIVO
7537,256943,13/12/2017,PRODUTIVO
33,256951,2/6/2017,PRODUTIVO
29,257044,2/6/2017,PRODUTIVO
6177,257206,26/10/2017,DESATIVADO
3843,257338,27/8/2017,DESATIVADO
2227,257605,6/7/2017,PRODUTIVO
3798,257699,25/8/2017,PRODUTIVO
137,257826,25/5/2017,PRODUTIVO
2765,258350,4/8/2017,PRODUTIVO
41372,258709,27/9/2021,PRODUTIVO
702,258792,20/6/2017,DESATIVADO
2255,262951,26/7/2017,PRODUTIVO
1511,272779,17/7/2017,PRODUTIVO
10767,272884,22/3/2018,PRODUTIVO
2307,272930,27/7/2017,PRODUTIVO
6036,272981,24/10/2017,PRODUTIVO
12140,272990,2/5/2018,PRODUTIVO
31569,290602,25/8/2020,DESATIVADO
30030,291994,1/7/2020,PRODUTIVO
10795,295183,23/3/2018,PRODUTIVO
30700,297232,24/7/2020,PRODUTIVO
4345,308897,5/9/2017,PRODUTIVO
31239,324833,10/8/2020,SUSPENSO
31524,325392,21/8/2020,PRODUTIVO
2352,364509,28/7/2017,PRODUTIVO
32219,364746,30/9/2020,PRODUTIVO
40147,364860,5/8/2021,PRODUTIVO
30133,364991,3/7/2020,PRODUTIVO
31393,365092,17/8/2020,PRODUTIVO
41281,365416,22/9/2021,PRODUTIVO
37047,365467,22/3/2021,PRODUTIVO
31322,365874,12/8/2020,PRODUTIVO
31756,365882,3/9/2020,PRODUTIVO
3094,365947,11/8/2017,PRODUTIVO
30056,366552,1/7/2020,PRODUTIVO
3030,367036,10/8/2017,PRODUTIVO
30652,367451,23/7/2020,PRODUTIVO
31887,367605,11/9/2020,PRODUTIVO
11171,367672,3/4/2018,PRODUTIVO
30532,367826,20/7/2020,PRODUTIVO
3463,368466,18/8/2017,PRODUTIVO
4766,368555,18/9/2017,PRODUTIVO
39697,369179,15/7/2021,PRODUTIVO
31485,369292,20/8/2020,PRODUTIVO
3665,369306,23/8/2017,PRODUTIVO
1871,369985,24/7/2017,DESATIVADO
13758,369993,3/8/2018,PRODUTIVO
1717,370029,20/7/2017,PRODUTIVO
2557,370150,1/8/2017,PRODUTIVO
30504,370177,17/7/2020,PRODUTIVO
13332,370185,12/7/2018,PRODUTIVO
2347,370339,28/7/2017,PRODUTIVO
31019,370355,31/7/2020,PRODUTIVO
2470,370428,31/7/2017,PRODUTIVO
31676,370517,31/8/2020,PRODUTIVO
31625,370525,27/8/2020,PRODUTIVO
34212,370835,12/1/2021,PRODUTIVO
3643,371530,22/8/2017,PRODUTIVO
1782,371726,21/7/2017,PRODUTIVO
10761,371858,22/3/2018,DESATIVADO
30334,371980,10/7/2020,PRODUTIVO
31323,372447,12/8/2020,PRODUTIVO
851,395293,23/6/2017,PRODUTIVO
30653,395463,23/7/2020,PRODUTIVO
651,395471,14/6/2017,PRODUTIVO
776,395668,21/6/2017,PRODUTIVO
3139,395676,14/8/2017,PRODUTIVO
642,395684,14/6/2017,PRODUTIVO
30049,395692,1/7/2020,PRODUTIVO
32292,395820,2/10/2020,PRODUTIVO
1571,395919,18/7/2017,PRODUTIVO
4285,397504,4/9/2017,PRODUTIVO
2739,400165,3/8/2017,PRODUTIVO
30730,400254,27/7/2020,PRODUTIVO
521,400297,15/5/2017,PRODUTIVO
4960,400530,22/9/2017,PRODUTIVO
2258,400572,26/7/2017,PRODUTIVO
14069,400610,15/8/2018,PRODUTIVO
7418,400629,12/12/2017,PRODUTIVO
5359,400653,4/10/2017,PRODUTIVO
7492,401013,13/12/2017,PRODUTIVO
22512,402176,1/7/2019,PRODUTIVO
30134,402320,3/7/2020,SUSPENSO
10883,402443,26/3/2018,PRODUTIVO
11167,402451,3/4/2018,PRODUTIVO
2375,426873,28/7/2017,PRODUTIVO
39106,429376,22/6/2021,PRODUTIVO
11855,429422,20/4/2018,PRODUTIVO
1031,429600,27/6/2017,PRODUTIVO
29873,429791,24/6/2020,PRODUTIVO
37653,429910,19/4/2021,PRODUTIVO
31905,429961,14/9/2020,PRODUTIVO
4634,429970,13/9/2017,DESATIVADO
12636,430056,24/5/2018,PRODUTIVO
7396,430080,12/12/2017,PRODUTIVO
30778,430129,28/7/2020,PRODUTIVO
3430,430161,18/8/2017,PRODUTIVO
3002,430188,10/8/2017,PRODUTIVO
123,430242,23/5/2017,PRODUTIVO
3278,430269,16/8/2017,PRODUTIVO
1865,430315,24/7/2017,DESATIVADO
4966,430331,22/9/2017,PRODUTIVO
26869,430420,27/2/2020,PRODUTIVO
30138,430447,3/7/2020,PRODUTIVO
36481,430455,24/2/2021,PRODUTIVO
31606,430471,26/8/2020,PRODUTIVO
6634,430633,14/11/2017,PRODUTIVO
33636,430641,22/12/2020,PRODUTIVO
7592,430757,14/12/2017,DESATIVADO
6479,430943,8/11/2017,PRODUTIVO
2920,430951,7/8/2017,PRODUTIVO
31556,430986,24/8/2020,PRODUTIVO
24091,431591,24/9/2019,PRODUTIVO
29833,431729,23/6/2020,PRODUTIVO
5679,433071,10/10/2017,DESATIVADO
6200,434116,26/10/2017,PRODUTIVO
4015,434175,29/8/2017,PRODUTIVO
1512,436127,17/7/2017,PRODUTIVO
513,436186,12/5/2017,PRODUTIVO
1938,436194,25/7/2017,PRODUTIVO
10999,436305,28/3/2018,PRODUTIVO
2553,436313,1/8/2017,PRODUTIVO
22475,443093,26/6/2019,PRODUTIVO
7705,459690,19/12/2017,PRODUTIVO
23804,468681,4/9/2019,PRODUTIVO
32587,469190,22/10/2020,PRODUTIVO
34676,469521,28/1/2021,PRODUTIVO
35016,514063,9/2/2021,PRODUTIVO
30631,514080,22/7/2020,PRODUTIVO
1449,514101,14/7/2017,PRODUTIVO
31154,514241,5/8/2020,PRODUTIVO
5776,514519,16/10/2017,PRODUTIVO
30305,515302,9/7/2020,PRODUTIVO
7017,516201,29/11/2017,PRODUTIVO
6874,519863,23/11/2017,PRODUTIVO
343,521558,8/6/2017,SUSPENSO
34911,522198,5/2/2021,PRODUTIVO
5963,522309,20/10/2017,PRODUTIVO
11178,522511,3/4/2018,PRODUTIVO
1597,522600,18/7/2017,PRODUTIVO
3814,522651,25/8/2017,DESATIVADO
2831,522660,7/8/2017,PRODUTIVO
6079,522716,25/10/2017,PRODUTIVO
652,522945,14/6/2017,DESATIVADO
34869,523003,4/2/2021,PRODUTIVO
730,523321,20/6/2017,PRODUTIVO
38559,529672,31/5/2021,PRODUTIVO
10918,530883,27/3/2018,SUSPENSO
4518,531090,11/9/2017,PRODUTIVO
1026,535834,27/6/2017,PRODUTIVO
841,539317,22/6/2017,PRODUTIVO
31318,539430,12/8/2020,PRODUTIVO
31104,539600,4/8/2020,PRODUTIVO
365,539970,8/6/2017,PRODUTIVO
1027,539988,27/6/2017,PRODUTIVO
6803,540153,21/11/2017,PRODUTIVO
